gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9338591;;8119;5;1;5;4;;Allée Francis Delobelle;False;11960;25190;1;1995-01-25 00:00:00+01:00;2013-04-22 00:00:00+02:00;135,0664123
9336301;;45312;4;1;5;3;;Quai Armand Lalande;False;11281;17418;1;2023-08-08 00:00:00+02:00;2023-08-08 00:00:00+02:00;333,2211819
9336290;;21989;4;1;5;4;;Rue Armand Dulamon;False;2569;2148;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;333,5037289
9343738;;22831;4;1;4;3;;Rond-point de la Belle Province;False;19681;15381;1;1995-01-26 00:00:00+01:00;2015-04-16 00:00:00+02:00;98,23595519
9339107;;63712;4;1;5;3;;Cours Henri Brunet;False;477;18215;1;1996-04-01 00:00:00+02:00;2020-07-09 00:00:00+02:00;218,1642844
9337056;;7003;5;1;5;4;;Impasse Cabrière;False;23248;8661;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;42,88525067
9343838;;34440;5;1;5;4;;Rue Raoul Dufy;False;7533;5998;1;2000-03-29 00:00:00+02:00;2012-06-22 00:00:00+02:00;59,71081277
9340665;;9590;4;1;5;4;;Rue Maurice;False;7878;8039;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;414,117719
9343578;;40303;5;1;5;64;;Résidence le Clos Saint Louis;False;14988;16375;1;2006-10-02 00:00:00+02:00;2012-06-22 00:00:00+02:00;80,54820432
9338420;;50314;4;1;5;4;;Rue de la Faiencerie;False;25117;18343;1;1995-01-25 00:00:00+01:00;2020-11-03 00:00:00+01:00;547,6849441
9339483;;8747;4;1;5;4;;Rue Josephine;False;2033;8039;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;580,7098894
9343627;;11638;4;1;4;3;;Rond-point de Fukuoka;False;18366;1721;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;97,44680464
9337477;;7323;4;1;5;4;;Rue Charles Puyo;False;20793;26160;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;269,7988584
9339391;;8703;4;1;5;4;;Place John Lewis Brown;False;2148;19156;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;35,89250454
9343317;;25570;5;1;5;4;;Place du Médoc;False;24877;29490;1;1995-04-25 00:00:00+02:00;2013-04-22 00:00:00+02:00;50,64562455
9344123;;49577;0;1;10;99;;Ponton des Chartrons;False;19705;12884;1;2015-05-11 00:00:00+02:00;2015-05-12 00:00:00+02:00;21,56695589
9337806;;30416;4;1;5;4;;Rue David Raynal;False;22885;2459;1;1997-09-24 00:00:00+02:00;2012-06-22 00:00:00+02:00;116,6238847
9343058;;11261;4;1;5;4;;Rue Vieillard;False;18897;1357;1;1995-01-25 00:00:00+01:00;2022-04-26 00:00:00+02:00;117,9939711
9343649;;11650;4;1;5;4;;Rue Vital-Mareille;False;1315;6589;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;202,610905
9338099;;7749;4;1;5;4;;Rue Duret;False;4833;11626;1;1995-01-25 00:00:00+01:00;2022-04-26 00:00:00+02:00;108,1725682
9343674;;11658;4;1;5;4;;Rue Samuel Kirsz;False;21176;25512;1;1995-01-25 00:00:00+01:00;2012-09-13 00:00:00+02:00;120,061203
9336007;;26694;4;2;2;3;;Boulevard Alfred Daney;False;21252;23097;1;2023-05-23 00:00:00+02:00;2023-05-23 00:00:00+02:00;8,099310377
9343337;;11392;5;1;5;4;;Avenue des Chateaux;False;11336;19770;1;1995-01-25 00:00:00+01:00;2013-04-22 00:00:00+02:00;66,81102663
9343581;;46458;5;1;5;4;;Résidence des Chartrons;False;585;25876;1;2013-04-22 00:00:00+02:00;2013-04-22 00:00:00+02:00;531,204556
9343344;;11412;7;1;5;4;;Voie du Bassin a Flots;False;8043;3325;1;1995-01-25 00:00:00+01:00;2020-02-27 00:00:00+01:00;381,5424742
9343640;;54488;4;1;4;3;;Allée Haussmann;False;13507;22418;1;2019-06-03 00:00:00+02:00;2019-06-03 00:00:00+02:00;678,9863544
9340180;;9241;4;1;3;2;;Cours Louis Fargue;False;11257;25306;1;1995-01-25 00:00:00+01:00;2022-03-21 00:00:00+01:00;489,7085467
