gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9339874;;47591;4;99;6;98;;Avenue de Laroque;False;18929;21657;1;2008-02-19 00:00:00+01:00;2014-10-01 00:00:00+02:00;1197,288466
9343224;;11361;4;1;2;2;;Echangeur du Jonc;False;9265;19471;1;2023-02-28 00:00:00+01:00;2023-02-24 00:00:00+01:00;745,4965838
9344246;;57029;5;1;9;99;;Mail des Bordelais;False;12436;5383;1;2020-06-04 00:00:00+02:00;2022-03-23 00:00:00+01:00;308,0547342
9344086;;50020;5;1;5;64;;Rue Jean Royer;False;11564;28714;1;2012-09-19 00:00:00+02:00;2021-10-13 00:00:00+02:00;188,92037
9336325;;6508;4;1;5;4;;Cours des Aubiers;False;28521;5498;1;1995-01-25 00:00:00+01:00;2018-10-29 00:00:00+01:00;132,9971946
9344097;;50388;5;1;9;99;;Allée du Milan Noir;False;23947;4664;1;2016-06-08 00:00:00+02:00;2021-10-13 00:00:00+02:00;75,89030734
9341716;;46625;4;1;5;4;;Rue Professeur Lannelongue;False;18387;9597;1;2012-11-19 00:00:00+01:00;2013-10-02 00:00:00+02:00;294,0907465
9342554;;46366;4;1;5;4;;Rue Surcouf;False;10079;26868;1;1995-03-16 00:00:00+01:00;2015-04-16 00:00:00+02:00;239,7524065
9343206;;54490;4;1;3;3;SUPERIEUR;Pont des Hotels;False;3948;1692;1;2019-06-03 00:00:00+02:00;2019-06-03 00:00:00+02:00;247,7673601
9343662;;46970;5;1;5;4;;Impasse Duguay-Trouin 2;False;16712;18309;1;1995-01-25 00:00:00+01:00;2013-06-20 00:00:00+02:00;83,10915572
9343718;;51567;5;1;5;64;;Parking Auchan;False;15339;21346;1;2017-12-20 00:00:00+01:00;2017-12-20 00:00:00+01:00;2484,821265
9343671;;11655;4;1;5;4;;Impasse Duguay-Trouin 1;False;25305;21391;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;55,30801539
9343200;;63690;5;1;9;4;;Place Ginette Neveu;False;9500;9500;1;1995-01-26 00:00:00+01:00;2016-03-07 00:00:00+01:00;135,7107256
9343260;;51565;1;1;2;1;;Passage Supérieur Echangeur de Labarde;False;27248;18120;1;2023-05-17 00:00:00+02:00;2023-05-17 00:00:00+02:00;331,3860436
9343711;;33218;5;1;5;4;;Parking Leroy Merlin;False;509;941;1;1998-05-26 00:00:00+02:00;2013-03-29 00:00:00+01:00;565,0491033
9338592;;22223;4;1;5;4;;Rue Francis Garnier;False;9660;21873;1;2005-04-18 00:00:00+02:00;2012-06-22 00:00:00+02:00;454,6227583
9338715;;50403;4;1;5;4;;Rue Gabriel Frizeau;False;21847;7113;1;2016-06-29 00:00:00+02:00;2016-06-29 00:00:00+02:00;349,7086979
9343663;;63133;4;1;5;4;;Rue Duguay-Trouin;False;2631;18309;1;1995-08-09 00:00:00+02:00;2012-06-22 00:00:00+02:00;239,8993283
9343767;;28543;4;1;4;3;;Rue des Francais Libres;False;27970;20317;1;2005-02-08 00:00:00+01:00;2013-05-14 00:00:00+02:00;1619,510217
9336896;;71027;4;1;5;4;;Rue Bougainville;False;3564;9846;1;1995-03-16 00:00:00+01:00;2013-05-14 00:00:00+02:00;200,8420383
9343853;;42447;4;1;5;4;;Rue Georges de Sonneville;False;9597;24139;1;1999-03-31 00:00:00+02:00;2013-10-02 00:00:00+02:00;277,8330985
9339704;;71400;4;1;3;2;;Avenue de Labarde;False;22398;14637;1;1995-10-03 00:00:00+01:00;2017-10-09 00:00:00+02:00;728,0548579
9341709;;22491;5;1;5;4;;Rue du Professeur Deniges;False;760;10113;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;281,6707746
9339904;;9032;4;1;4;2;;Place de Latule;False;21830;10586;1;1995-01-25 00:00:00+01:00;2016-04-05 00:00:00+02:00;174,4632816
9339442;;46497;4;1;5;4;;Rue du Jonc;False;27276;19549;1;2024-03-21 00:00:00+01:00;2024-03-21 00:00:00+01:00;278,4089055
9343942;;30639;4;1;5;4;;Rue Pierre Latecoere;False;9597;17556;1;2003-02-04 00:00:00+01:00;2015-04-16 00:00:00+02:00;104,7299016
9343211;;46330;4;1;4;2;;Rue du Professeur André Lavignolle;False;18261;2152;1;2024-05-24 00:00:00+02:00;2024-05-24 00:00:00+02:00;563,1166921
