gid	geom_err	ident	domanial	groupe	cat_dig	cat_rhv	passage	nom_voie	voiegrandtr	rg_fv_graph	rg_fv_graph_1	rg_fv_graph_2	cdate	mdate	longueur_m
9344172		57103	5	1	9	99		Sente de l'Hermione	False	11460	29085	1	2020-06-18 00:00:00+02:00	2020-11-03 00:00:00+01:00	65,92855807
9341614		42176	4	1	5	4		Rue Pourmann	False	6599	21138	1	2008-10-21 00:00:00+02:00	2019-02-18 00:00:00+01:00	258,9918825
9336980		62706	4	1	5	4		Rue Bradley	False	7668	5071	1	1995-01-26 00:00:00+01:00	2012-06-22 00:00:00+02:00	160,3631438
9344021		51719	7	1	5	64		Impasse Amédée Jouandot	False	594	19923	1	2018-03-09 00:00:00+01:00	2018-03-09 00:00:00+01:00	83,23366136
9343053		47593	5	1	5	4		Place Victor Raulin	False	3529	20726	1	1995-01-26 00:00:00+01:00	2015-07-08 00:00:00+02:00	128,6768289
9344156		50035	4	1	9	99		Passage de la Nelly	False	4806	5288	1	2016-01-15 00:00:00+01:00	2022-02-24 00:00:00+01:00	50,19021964
9344609		72241	5	1	10	64		Esplanade des Résistantes et des Résistants étrangers	False			1	2024-09-30 00:00:00+02:00	2024-09-30 00:00:00+02:00	270,5388434
9339452		42210	4	98	6	98		Rue Joseph Brunet	False	9648	16246	1	2008-10-21 00:00:00+02:00	2012-09-12 00:00:00+02:00	1643,862071
9335871		62180	5	1	9	4		Place Adolphe Buscaillet	False	20131	19213	1	1995-01-26 00:00:00+01:00	2020-10-06 00:00:00+02:00	79,34185439
9336899		6904	5	1	5	4		Impasse Bouillon	False	7600	25075	1	1995-01-25 00:00:00+01:00	2016-01-12 00:00:00+01:00	33,49993056
9343964		46566	4	1	5	4		Cité Lafon	False	8348	23362	1	2003-02-07 00:00:00+01:00	2013-05-03 00:00:00+02:00	278,8543563
9337814		42159	4	1	5	4		Rue Delbos	False	23230	29415	1	2008-10-21 00:00:00+02:00	2014-02-05 00:00:00+01:00	518,594384
9337468		7313	4	1	5	3		Rue Charles Martin	False	11739	14361	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	657,8080602
9336184		51611	4	1	5	4		Rue Arago	False	25540	19167	1	2018-01-08 00:00:00+01:00	2018-04-23 00:00:00+02:00	583,0114792
9339657		8862	4	1	5	4		Rue la Perouse	False	252	26854	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	71,69811376
9344108		49725	4	1	5	64		Rue Lucie Aubrac	False	24125	3946	1	2015-07-07 00:00:00+02:00	2018-05-14 00:00:00+02:00	287,2605332
9336332		6514	4	1	5	4		Rue Audubert	False	14141	24193	1	1995-01-25 00:00:00+01:00	2015-04-16 00:00:00+02:00	311,1834346
9337947		54481	4	98	6	98		Avenue du Docteur Schinazi	False	14764	18911	1	2019-06-03 00:00:00+02:00	2019-06-03 00:00:00+02:00	192,8515303
9340668		9593	5	1	5	4		Rue Maurice Bersagol	False	12575	13630	1	1995-01-25 00:00:00+01:00	2013-05-03 00:00:00+02:00	88,15906036
9336811		6833	4	1	5	3		Rue Blanqui	False	27963	24125	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	1618,492744
9344116		50539	4	1	5	64		Rue Henri Salmide	False	18320	21175	1	2016-05-26 00:00:00+02:00	2018-05-14 00:00:00+02:00	134,1888945
9339704		71400	4	1	3	2		Avenue de Labarde	False	22398	14637	1	1995-10-03 00:00:00+01:00	2017-10-09 00:00:00+02:00	37,78625468
9344189		51765	5	1	5	64		Rue Roland Tylipski	False	25540	20105	1	2018-04-23 00:00:00+02:00	2018-04-23 00:00:00+02:00	125,0016282
9343646		22795	4	1	5	4		Rue André Seguin	False	28350	22787	1	1995-01-26 00:00:00+01:00	2012-06-22 00:00:00+02:00	258,1887939
9337485		7328	4	1	5	4		Rue Charlevoix de Villers	False	24506	1241	1	1995-01-25 00:00:00+01:00	2016-03-09 00:00:00+01:00	233,8138319
