gid	geom_err	ident	domanial	groupe	cat_dig	cat_rhv	passage	nom_voie	voiegrandtr	rg_fv_graph	rg_fv_graph_1	rg_fv_graph_2	cdate	mdate	longueur_m
9299621		9123	4	1	5	4		Rue Léonard Lenoir	False	16297	7165	1	1995-01-25 00:00:00+01:00	2015-04-16 00:00:00+02:00	234m
9304023		60841	5	1	5	64		Rue des Osiers	False	3717	17253	1	2023-04-27 00:00:00+02:00	2023-04-27 00:00:00+02:00	257m
9298036		7985	4	1	5	4		Cité Feaugas	False	20883	21278	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	68m
9297687		7747	5	1	5	4		Passage Durand	False	26029	6233	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	76m
9301823		51864	4	2	2	1		Pont Saint-Jean	False		1283	1	2023-03-17 00:00:00+01:00	2024-10-21 00:00:00+02:00	180m
9296914		7220	4	1	5	4		Rue de Cénac	False	25913	15453	1	1995-01-25 00:00:00+01:00	2014-11-14 00:00:00+01:00	453m
9303506		36095	4	1	4	2		Rue Sem	False	24203	25366	1	2001-09-07 00:00:00+02:00	2021-12-07 00:00:00+01:00	214m
9296674		7022	4	1	5	3		Rue Calvimont	False	19773	17355	1	1995-01-25 00:00:00+01:00	2014-11-14 00:00:00+01:00	108m
9303939		59882	5	1	9	64		Square Simone Brandy	False	3838	3761	1	2022-02-16 00:00:00+01:00	2022-02-16 00:00:00+01:00	95m
9302094		10916	4	1	2	3		Place de Stalingrad	False	27221	29194	1	1995-01-25 00:00:00+01:00	2017-03-15 00:00:00+01:00	15m
9303933		59878	5	1	9	64		Allée des Abeilles	False	20423	2447	1	2023-03-24 00:00:00+01:00	2023-03-24 00:00:00+01:00	265m
9304025		71575	5	1	9	64		Sente de la Chaloupe	False		8896	1	2023-03-30 00:00:00+02:00	2024-10-30 00:00:00+01:00	86m
9304188		71998	5	1	9	64		Sente de la Goélette	False			1	2023-10-27 00:00:00+02:00	2024-10-30 00:00:00+01:00	62m
9304029		71577	5	1	5	64		Sente des Terres-Neuviers	False	26388	18627	1	2023-03-30 00:00:00+02:00	2024-10-30 00:00:00+01:00	258m
9304189		71997	5	1	9	4		Sente de la Caravelle	False	23856	1452	1	2023-10-24 00:00:00+02:00	2023-10-24 00:00:00+02:00	35m
9295770		6420	5	1	10	4		Rue Antoine Jourde	False	22336	8271	1	1995-01-25 00:00:00+01:00	2016-04-04 00:00:00+02:00	194m
9299639		35144	4	1	5	4		Rue Letellier	False	24844	8327	1	1999-09-28 00:00:00+02:00	2021-12-07 00:00:00+01:00	91m
9296670		7019	4	1	5	4		Place Calixte Camelle	False	13622	22103	1	1995-01-25 00:00:00+01:00	2017-03-15 00:00:00+01:00	134m
9299636		22346	4	1	10	4		Impasse de Lestonnat	False		1259	1	1995-01-26 00:00:00+01:00	2024-10-15 00:00:00+02:00	149m
9302453		11120	4	1	5	4		Rue de Tregey	False	22607	18709	1	1995-01-25 00:00:00+01:00	2016-02-05 00:00:00+01:00	365m
9296510		31368	4	1	5	4		Rue de Bourillon	False	26419	23763	1	1996-11-22 00:00:00+01:00	2014-11-14 00:00:00+01:00	166m
9302452		49504	5	1	5	4		Impasse de Tregey	False	26388	25401	1	2023-03-30 00:00:00+02:00	2025-01-20 00:00:00+01:00	94m
9297499		7606	4	1	5	4		Rue de Dijon	False	5081	11697	1	1995-01-25 00:00:00+01:00	2022-01-18 00:00:00+01:00	300m
9300413		9719	4	1	5	4		Place Montaud	False	3326	3810	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	31m
9300833		10035	4	1	5	4		Rue Paul Camelle	False	19985	23613	1	2023-06-21 00:00:00+02:00	2023-06-21 00:00:00+02:00	558m
9300568		9856	4	1	4	4		Rue de Nuits	False	25483	12599	1	1995-01-25 00:00:00+01:00	2022-01-18 00:00:00+01:00	386m
9299538		9055	4	1	4	3		Cours le Rouzic	False	13622	10408	1	2023-05-16 00:00:00+02:00	2023-05-16 00:00:00+02:00	515m
9299258		43573	4	1	5	4		Rue de la Tresne	False	182	7818	1	1995-01-25 00:00:00+01:00	2021-02-25 00:00:00+01:00	160m
9304030		71583	5	1	5	64		Rue des Cap-Horniers	False		1756	1	2023-04-28 00:00:00+02:00	2024-10-15 00:00:00+02:00	86m
9303929		71588	5	1	5	64		Allée des Traversiers	False		20043	1	2023-04-27 00:00:00+02:00	2024-10-25 00:00:00+02:00	340m
9300431		9737	4	1	5	4		Rue Montmejean	False	19773	11802	1	1995-01-25 00:00:00+01:00	2012-06-22 00:00:00+02:00	336m
9303918		59870	5	1	5	64		Rue de la Garonne	False	24095	28372	1	2023-04-28 00:00:00+02:00	2023-04-27 00:00:00+02:00	305m
9304032		71584	5	1	5	64		Sente de la Péniche	False	1756	3213	1	2023-04-27 00:00:00+02:00	2024-10-15 00:00:00+02:00	61m
9301325		22499	4	1	5	4		Rue Promis	False		23763	1	2024-10-15 00:00:00+02:00	2024-10-15 00:00:00+02:00	247m
9303934		59879	5	1	9	64		Place de la Cité des Fleurs	False	2447	26240	1	2023-03-24 00:00:00+01:00	2023-03-24 00:00:00+01:00	44m
9297153		7363	4	1	5	4		Rue de Chateauneuf	False	21278	14620	1	1995-01-25 00:00:00+01:00	2015-04-16 00:00:00+02:00	274m
