gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9303972;13356;71617;5;1;10;64;;Rue des artisans;False;20803;21580;1;2023-07-21 00:00:00+02:00;2023-07-21 00:00:00+02:00;266m
9302479;;62496;5;1;5;4;;Chemin de la Tuilerie;False;13377;21913;1;2023-08-08 00:00:00+02:00;2023-08-08 00:00:00+02:00;114m
9304035;;71699;;1;9;64;;Sente Elise Rivet;False;;;1;2023-07-21 00:00:00+02:00;2024-10-30 00:00:00+01:00;95m
9303959;;71611;5;1;10;64;;Place Florence Nightingale;False;25169;16637;1;2023-05-12 00:00:00+02:00;2023-05-12 00:00:00+02:00;39m
9301640;;10573;4;1;5;4;;Cité Roques;False;8814;28607;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;61m
9304042;;72266;5;1;9;4;;Sente Charlotte-de-Luxembourg;False;;;1;2024-10-25 00:00:00+02:00;2024-10-29 00:00:00+01:00;50m
9298073;;8018;4;1;5;4;;Rue Fernand Belliard;False;18167;23046;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;130m
9304066;;71805;5;1;10;64;;Place Marie-Luze;False;22391;22035;1;2023-07-21 00:00:00+02:00;2023-07-21 00:00:00+02:00;30m
9301807;;10706;4;1;5;4;;Rue Saint-Emilion;False;12774;5148;1;1995-01-25 00:00:00+01:00;2021-01-12 00:00:00+01:00;106m
9302700;;11302;4;1;5;4;;Rue des Vivants;False;19988;29157;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;628m
9304062;13356;71863;5;1;5;64;;Rue Solitude;False;11742;2712;1;2023-08-29 00:00:00+02:00;2023-08-29 00:00:00+02:00;103m
9297753;;22179;4;1;5;4;;Rue Edouard Mayaudon;False;21129;23127;1;1995-01-26 00:00:00+01:00;2015-04-16 00:00:00+02:00;384m
9299689;;9177;4;1;5;4;;Rue de Libourne;False;7247;23933;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;57m
