gid;geom_err;ident;domanial;groupe;cat_dig;cat_rhv;passage;nom_voie;voiegrandtr;rg_fv_graph;rg_fv_graph_1;rg_fv_graph_2;cdate;mdate;longueur_m
9296906;;7214;4;1;5;4;;Rue Cazenave;False;8418;10700;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;245m
9297743;;22178;4;1;5;4;;Rue Edouard Branly;False;19334;12792;1;1995-01-26 00:00:00+01:00;2021-05-25 00:00:00+02:00;446m
9301483;;27027;4;1;5;4;;Rue du Recteur Thamin;False;29237;3099;1;2004-06-29 00:00:00+02:00;2015-04-16 00:00:00+02:00;381m
9303383;;30332;0;1;10;4;;Square Pierre Bernadas;False;14868;28872;1;1996-09-19 00:00:00+02:00;2016-11-04 00:00:00+01:00;49m
9296259;;6736;4;1;5;4;;Rue Béranger;False;6364;2797;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;226m
9302966;;51033;4;1;2;2;;Boulevard de l'Entre Deux Mers;False;20435;15756;1;2017-04-27 00:00:00+02:00;2017-04-27 00:00:00+02:00;543m
9301665;;22533;4;1;5;4;;Rue Roturier;False;27002;19634;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;230m
9302457;;11122;4;1;5;4;;Rue de Tresses;False;24737;12123;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;203m
9296788;;7116;4;1;5;4;;Rue Capitaine Ferrand;False;17231;26708;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;199m
9297357;;7502;4;1;5;4;;Rue du Cypressat;False;28965;22317;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;51m
9296108;;6625;4;1;5;4;;Rue Baudry Lacantinerie;False;28965;27002;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;492m
9295573;;6316;4;1;5;4;;Rue Alexander Fleming;False;17002;8528;1;1995-01-25 00:00:00+01:00;2017-12-08 00:00:00+01:00;256m
9299370;;8939;4;1;5;4;;Impasse Lafargue;False;13896;26879;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;55m
9299688;;9176;4;1;5;4;;Cité de Libourne;False;17385;707;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;133m
9296670;;7019;4;1;5;4;;Place Calixte Camelle;False;13622;22103;1;1995-01-25 00:00:00+01:00;2017-03-15 00:00:00+01:00;134m
9298062;;8008;4;1;5;4;;Rue Ferdinand Palau;False;27268;25560;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;210m
9299205;;62546;4;1;5;4;;Rue Jules Verne;False;23810;13896;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;251m
9298259;;8180;4;1;5;4;;Rue Frédéric Bastiat;False;28510;5018;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;137m
9303523;;71374;4;1;5;4;;Rue du Général Gustave Ferrie;False;27525;26439;1;2002-02-06 00:00:00+01:00;2021-06-03 00:00:00+02:00;70m
9299657;;22353;4;1;5;4;;Rue Leyronneire;False;702;23059;1;1995-01-26 00:00:00+01:00;2012-06-22 00:00:00+02:00;129m
9303559;;36794;4;1;5;4;;Rue Docteur Yersin;False;14825;9031;1;2003-04-08 00:00:00+02:00;2015-04-16 00:00:00+02:00;274m
9303350;;22845;4;1;5;4;;Rue Paul Baudenon;False;29513;24650;1;1995-01-26 00:00:00+01:00;2014-11-14 00:00:00+01:00;195m
9301636;;10571;4;1;5;4;;Rue Roland Dorgeles;False;27268;6094;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;77m
9299689;;9177;4;1;5;4;;Rue de Libourne;False;7247;23933;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;310m
9296924;;7222;4;1;5;4;;Rue de Cenon;False;10068;702;1;1995-01-25 00:00:00+01:00;2015-04-16 00:00:00+02:00;147m
9299181;;8805;4;1;5;4;;Rue Jules Lemaitre;False;27918;27812;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;135m
9298816;;51834;4;1;5;4;;Rue Jacques Rivière;False;18505;14757;1;2018-04-13 00:00:00+02:00;2018-08-13 00:00:00+02:00;149m
9301070;;10211;4;1;5;4;;Rue Pierre Paris;False;25243;15379;1;1995-01-25 00:00:00+01:00;2012-06-22 00:00:00+02:00;152m
